target_value,timeframe,risk_score,recommended_stocks
56471,3,70,"NVDA,AMD,TSLA"
52843,2,72,"JNJ,PG,VZ"
82207,8,27,"PEP,VZ,PG"
37289,1,9,"AMD,SQ,NVDA"
6166,3,62,"AAPL,MSFT,AMZN"
29905,3,37,"KO,JNJ,VZ"
55617,9,97,"GOOGL,AAPL,AMZN"
82381,6,51,"AAPL,AMZN,GOOGL"
9979,8,44,"VZ,PEP,PG"
80909,3,24,"SHOP,TSLA,AMD"
74979,9,79,"V,MSFT,AMZN"
89516,3,59,"SQ,TSLA,AMD"
56406,1,32,"JNJ,PG,KO"
56781,4,96,"PG,PEP,VZ"
46548,4,88,"SHOP,AMD,NVDA"
92566,6,52,"AAPL,MSFT,AMZN"
19689,8,62,"SHOP,NVDA,SQ"
49111,7,58,"KO,PG,VZ"
5099,3,52,"MSFT,AAPL,GOOGL"
63958,4,12,"NVDA,TSLA,SQ"
9587,7,39,"V,AMZN,AAPL"
67429,10,2,"NVDA,TSLA,AMD"
72995,2,3,"SQ,SHOP,TSLA"
93257,1,56,"PG,KO,PEP"
60109,4,81,"MSFT,AMZN,GOOGL"
34035,3,59,"TSLA,AMD,NVDA"
63330,9,2,"KO,JNJ,PEP"
65744,8,2,"PG,PEP,VZ"
26170,1,92,"AMD,NVDA,SQ"
67870,4,54,"TSLA,SQ,AMD"
67025,9,87,"MSFT,V,AAPL"
67734,9,96,"VZ,PEP,KO"
35739,8,97,"V,AMZN,AAPL"
92964,7,1,"GOOGL,AMZN,AAPL"
69181,10,19,"JNJ,VZ,PG"
89939,8,2,"TSLA,SQ,NVDA"
90202,10,53,"SHOP,AMD,NVDA"
31637,2,44,"NVDA,SHOP,SQ"
27784,1,90,"SQ,NVDA,SHOP"
19101,7,32,"AAPL,AMZN,MSFT"
13879,9,70,"JNJ,VZ,PG"
52551,2,32,"TSLA,SHOP,AMD"
16771,10,68,"MSFT,AAPL,GOOGL"
22433,8,55,"KO,PEP,PG"
70784,7,75,"PG,VZ,PEP"
90470,4,56,"SHOP,NVDA,AMD"
35389,4,17,"PEP,KO,JNJ"
71412,6,38,"NVDA,AMD,SHOP"
55973,4,24,"SHOP,AMD,NVDA"
24412,6,69,"PEP,VZ,JNJ"
53659,7,98,"SQ,SHOP,AMD"
12445,7,70,"GOOGL,AAPL,V"
38010,5,86,"NVDA,SHOP,AMD"
75647,3,11,"VZ,JNJ,KO"
90562,2,16,"AMD,SHOP,SQ"
12088,10,97,"PEP,PG,VZ"
13464,8,73,"SHOP,AMD,SQ"
25532,2,59,"VZ,PG,JNJ"
98057,9,70,"SQ,NVDA,AMD"
14726,9,80,"TSLA,SHOP,SQ"
67295,3,93,"AMD,TSLA,NVDA"
74600,6,3,"SHOP,TSLA,SQ"
80650,1,20,"AAPL,AMZN,V"
14158,1,59,"JNJ,KO,PG"
27900,7,36,"TSLA,SQ,NVDA"
85751,7,19,"TSLA,SHOP,NVDA"
66586,1,90,"VZ,KO,PEP"
40661,9,67,"KO,VZ,PG"
19921,2,19,"SQ,NVDA,AMD"
23291,9,20,"VZ,PG,KO"
98809,8,96,"VZ,PG,PEP"
38186,3,71,"PG,VZ,KO"
81227,10,52,"PEP,JNJ,VZ"
56488,9,33,"AMD,SHOP,SQ"
69612,1,40,"GOOGL,MSFT,V"
13229,10,39,"VZ,PEP,KO"
79066,6,82,"MSFT,V,AAPL"
24845,2,1,"SHOP,SQ,TSLA"
92649,10,11,"PG,PEP,KO"
9836,3,92,"AMZN,MSFT,AAPL"
88005,9,57,"NVDA,AMD,TSLA"
64922,4,89,"KO,VZ,PG"
73083,2,50,"JNJ,VZ,KO"
20487,5,23,"GOOGL,MSFT,AAPL"
29270,9,31,"TSLA,SQ,SHOP"
33584,10,94,"SQ,AMD,NVDA"
38312,6,42,"TSLA,NVDA,AMD"
28324,3,99,"JNJ,VZ,KO"
89251,9,7,"TSLA,SQ,AMD"
58987,3,16,"AAPL,GOOGL,AMZN"
72263,6,90,"AAPL,V,AMZN"
44390,3,60,"MSFT,AMZN,V"
72716,7,2,"VZ,PG,JNJ"
89178,7,1,"PG,VZ,JNJ"
21779,4,48,"JNJ,PEP,PG"
73914,3,12,"AMD,TSLA,NVDA"
55595,10,69,"AMZN,MSFT,V"
63280,1,37,"SHOP,NVDA,AMD"
47133,4,32,"AAPL,V,AMZN"
56511,4,9,"PEP,KO,VZ"
52895,8,99,"SHOP,NVDA,SQ"
38632,6,19,"JNJ,KO,PEP"
37971,1,48,"NVDA,TSLA,SHOP"
27775,10,80,"MSFT,GOOGL,AAPL"
39484,2,3,"GOOGL,AAPL,V"
14294,7,20,"AMZN,V,AAPL"
10684,5,24,"AMZN,AAPL,V"
54592,6,54,"SHOP,SQ,TSLA"
15267,2,33,"KO,VZ,JNJ"
66084,10,24,"PG,KO,JNJ"
21263,4,75,"GOOGL,AAPL,V"
73689,5,72,"V,GOOGL,AMZN"
31569,3,36,"V,MSFT,GOOGL"
90146,8,38,"AMZN,GOOGL,V"
20728,7,84,"PEP,VZ,KO"
47341,3,99,"SHOP,TSLA,SQ"
65447,2,89,"PG,PEP,KO"
54524,8,99,"PG,VZ,JNJ"
86495,5,25,"SHOP,AMD,NVDA"
24748,5,93,"SHOP,TSLA,NVDA"
56174,7,18,"PEP,VZ,PG"
16672,1,82,"PG,JNJ,KO"
19406,5,66,"V,MSFT,AMZN"
61160,5,54,"AMZN,MSFT,GOOGL"
31457,8,35,"SQ,NVDA,AMD"
39447,4,80,"VZ,JNJ,KO"
26771,1,61,"JNJ,PEP,VZ"
11862,5,41,"AMD,SQ,NVDA"
62882,5,100,"JNJ,PEP,PG"
13731,7,33,"AAPL,MSFT,V"
54410,9,68,"TSLA,NVDA,SQ"
90904,4,33,"SQ,TSLA,AMD"
42948,8,14,"PG,KO,PEP"
68924,5,21,"NVDA,SHOP,TSLA"
80999,4,48,"AMZN,MSFT,V"
64409,3,20,"SQ,NVDA,SHOP"
88594,10,8,"SQ,AMD,NVDA"
85228,2,7,"V,GOOGL,AAPL"
70959,3,67,"JNJ,PEP,PG"
19448,3,17,"AAPL,V,GOOGL"
72007,7,33,"SQ,TSLA,SHOP"
64518,3,48,"SQ,NVDA,SHOP"
97357,7,76,"AMD,NVDA,SHOP"
15405,3,59,"PEP,KO,VZ"
60860,10,86,"SQ,AMD,TSLA"
12545,3,22,"PG,KO,PEP"
54208,1,30,"JNJ,KO,PG"
29768,9,38,"GOOGL,V,AMZN"
96937,1,51,"AAPL,GOOGL,AMZN"
39572,9,54,"PG,KO,PEP"
45883,7,8,"PG,KO,VZ"
75563,2,27,"AMD,NVDA,TSLA"
10189,8,27,"MSFT,AMZN,AAPL"
51424,8,98,"PG,JNJ,KO"
31877,8,21,"TSLA,NVDA,AMD"
77518,2,30,"AMD,TSLA,SHOP"
57566,9,97,"SQ,SHOP,TSLA"
98527,6,28,"NVDA,SQ,TSLA"
26968,5,64,"GOOGL,MSFT,AMZN"
58927,1,97,"JNJ,KO,VZ"
65561,9,69,"VZ,JNJ,PG"
37657,9,61,"SHOP,NVDA,AMD"
64429,6,48,"TSLA,SQ,AMD"
30749,7,19,"AMD,NVDA,SHOP"
86997,2,4,"JNJ,PEP,KO"
11087,1,35,"AMZN,V,GOOGL"
31503,1,64,"PG,VZ,PEP"
28810,7,49,"TSLA,AMD,NVDA"
15530,8,17,"MSFT,V,AAPL"
67865,7,44,"VZ,JNJ,PEP"
10904,10,92,"KO,PG,JNJ"
80176,8,30,"V,AAPL,AMZN"
87790,1,93,"AMD,SHOP,SQ"
92637,6,46,"SQ,SHOP,TSLA"
31537,10,6,"SQ,AMD,TSLA"
85032,4,99,"JNJ,KO,PEP"
70873,10,37,"NVDA,SHOP,SQ"
63766,9,24,"VZ,JNJ,KO"
29129,2,93,"AMD,SHOP,SQ"
99729,3,46,"SQ,TSLA,SHOP"
96537,9,53,"SQ,TSLA,AMD"
19887,3,95,"V,AMZN,MSFT"
54151,1,99,"SQ,AMD,TSLA"
38902,7,60,"AAPL,GOOGL,MSFT"
82683,6,97,"AMD,TSLA,SHOP"
36478,3,63,"GOOGL,AAPL,MSFT"
22412,6,85,"GOOGL,AAPL,V"
65832,8,32,"SHOP,NVDA,TSLA"
44413,8,87,"VZ,PG,PEP"
17631,8,33,"V,GOOGL,AAPL"
85378,9,67,"KO,JNJ,VZ"
92498,2,18,"SQ,TSLA,AMD"
54965,8,25,"KO,PG,VZ"
76885,5,95,"TSLA,AMD,SQ"
95264,3,54,"GOOGL,V,AMZN"
7599,6,58,"TSLA,NVDA,SQ"
37075,6,67,"PEP,KO,PG"
39328,9,46,"SHOP,TSLA,SQ"
62546,3,24,"AMD,NVDA,SQ"
68704,5,32,"SQ,NVDA,AMD"
67873,5,47,"V,GOOGL,AMZN"
86327,1,86,"KO,JNJ,PG"
46783,8,23,"JNJ,PG,KO"
87786,10,66,"VZ,KO,JNJ"
68627,7,27,"SQ,AMD,NVDA"
8818,4,2,"NVDA,SHOP,SQ"
59846,6,90,"AMD,SHOP,NVDA"
10991,6,17,"KO,VZ,PG"
39278,8,33,"PEP,JNJ,PG"
46449,5,9,"AMZN,GOOGL,V"
61521,1,43,"PG,JNJ,VZ"
45197,6,48,"SHOP,NVDA,AMD"
66818,1,39,"SQ,SHOP,NVDA"
9428,3,93,"SQ,TSLA,NVDA"
22509,1,42,"NVDA,SQ,SHOP"
45122,8,26,"AMD,NVDA,SQ"
26416,9,99,"TSLA,SQ,SHOP"
83036,1,50,"SQ,SHOP,NVDA"
76061,2,25,"AMD,SQ,SHOP"
54764,7,24,"SQ,TSLA,NVDA"
86446,2,13,"PG,JNJ,VZ"
19476,1,60,"TSLA,SQ,AMD"
8623,10,7,"SQ,NVDA,TSLA"
97392,1,57,"KO,VZ,PEP"
78747,9,36,"KO,JNJ,PEP"
43099,3,45,"PG,KO,VZ"
64489,2,20,"PEP,VZ,PG"
90766,7,65,"KO,PG,PEP"
82096,7,8,"KO,VZ,PEP"
54083,1,16,"NVDA,AMD,SHOP"
18720,1,14,"JNJ,PEP,KO"
84384,3,76,"SQ,SHOP,AMD"
49337,8,87,"AMD,SHOP,TSLA"
36204,4,15,"PG,KO,JNJ"
43847,7,92,"AAPL,MSFT,AMZN"
16211,4,98,"SQ,SHOP,TSLA"
92825,6,66,"AMD,TSLA,SQ"
95311,1,32,"VZ,PG,PEP"
94063,10,87,"VZ,PG,PEP"
70626,7,63,"SHOP,SQ,TSLA"
8472,8,86,"MSFT,AMZN,AAPL"
52300,4,51,"SHOP,TSLA,AMD"
20222,3,25,"AMD,TSLA,SHOP"
44951,7,58,"SQ,SHOP,AMD"
53992,5,63,"V,GOOGL,MSFT"
91203,9,62,"NVDA,SHOP,TSLA"
41526,10,22,"V,AAPL,AMZN"
34934,10,58,"PG,JNJ,KO"
97090,2,58,"NVDA,TSLA,AMD"
10834,6,86,"PG,VZ,PEP"
23894,3,49,"SQ,TSLA,SHOP"
24368,6,52,"V,AMZN,GOOGL"
46779,3,42,"NVDA,SHOP,SQ"
9511,5,70,"KO,PEP,PG"
79320,6,15,"JNJ,PEP,KO"
61898,1,54,"PG,KO,PEP"
63195,5,60,"AAPL,AMZN,GOOGL"
23580,3,97,"PEP,KO,JNJ"
32975,3,8,"PEP,PG,VZ"
19798,2,53,"VZ,PG,JNJ"
84268,5,60,"PG,VZ,PEP"
62879,6,5,"MSFT,AAPL,GOOGL"
72827,8,68,"AMD,SQ,SHOP"
19596,6,6,"JNJ,PEP,VZ"
50518,7,96,"AMZN,GOOGL,AAPL"
22423,4,94,"PEP,KO,JNJ"
9465,5,47,"MSFT,AAPL,GOOGL"
64937,2,99,"SQ,NVDA,SHOP"
75865,2,55,"SHOP,AMD,TSLA"
19139,5,40,"AMZN,AAPL,V"
36340,4,52,"NVDA,SHOP,AMD"
19181,1,16,"SQ,NVDA,AMD"
55052,1,13,"KO,PG,VZ"
33016,2,30,"TSLA,AMD,NVDA"
80113,8,19,"MSFT,GOOGL,V"
62129,3,17,"AMZN,AAPL,MSFT"
88746,3,63,"JNJ,VZ,PEP"
92154,9,19,"V,AAPL,MSFT"
62064,5,92,"KO,VZ,PEP"
14481,7,58,"PG,KO,VZ"
36203,7,55,"AMD,SHOP,SQ"
11710,5,90,"NVDA,AMD,SHOP"
63334,6,90,"VZ,PEP,PG"
65221,10,62,"SQ,NVDA,AMD"
19393,10,23,"JNJ,PG,KO"
25004,8,9,"PEP,JNJ,VZ"
14640,3,12,"TSLA,AMD,SHOP"
28941,8,1,"JNJ,PG,VZ"
75557,3,58,"MSFT,AMZN,GOOGL"
22731,7,1,"TSLA,SHOP,AMD"
11005,9,34,"SHOP,NVDA,TSLA"
7758,8,96,"SHOP,TSLA,AMD"
66715,7,48,"SHOP,AMD,TSLA"
58366,8,89,"JNJ,PG,PEP"
94243,2,1,"PG,VZ,PEP"
61074,1,16,"PEP,VZ,PG"
33704,5,61,"AAPL,MSFT,AMZN"
67973,5,64,"AMD,TSLA,SHOP"
8109,10,63,"VZ,PEP,JNJ"
74459,6,69,"V,AMZN,GOOGL"
77973,6,22,"KO,VZ,PG"
70151,9,93,"KO,VZ,PEP"
52474,5,67,"SHOP,NVDA,AMD"
