years_of_experience,loss_tolerance,panic_behavior,financial_behavior,engagement_level,investment_goal,target_amount,lump_sum_investment,monthly_investment,timeframe,income,risk_score
3,wait_and_see,no_never,invest_all,weekly,buy a house,222500,172973,512,10,medium,18.4
12,buy_more,no_never,invest_all,monthly,wealth building,1209861,2149766,8660,20,high,81.4
6,buy_more,yes_sometimes,save_half,monthly,retirement,527923,491625,7492,5,medium,46.4
6,buy_more,yes_sometimes,save_half,weekly,wealth building,301372,389039,1419,12,medium,39.8
1,wait_and_see,yes_always,spend_it,rarely,vacation,2784,800,52,3,low,1.0
18,wait_and_see,no_never,invest_all,daily,wealth building,142159,99973,826,15,medium,42.5
4,wait_and_see,yes_sometimes,save_all,rarely,emergency fund,11959,7984,233,2,low,1.0
8,buy_more,yes_sometimes,invest_all,monthly,wealth building,409154,339974,2284,10,high,62.3
12,wait_and_see,yes_sometimes,invest_all,daily,retirement,2720831,2389697,41179,10,high,74.5
1,sell_immediately,yes_always,save_all,quarterly,emergency fund,30965,20982,1145,1,medium,3.9
5,buy_more,no_never,invest_all,weekly,wealth building,119307,27973,1071,10,high,68.5
2,sell_immediately,yes_always,spend_it,rarely,emergency fund,4105,1615,47,3,low,1.0
12,wait_and_see,yes_sometimes,save_half,monthly,retirement,3192069,2484265,45401,10,high,74.0
7,wait_and_see,yes_sometimes,invest_all,monthly,wealth building,584831,1431007,5130,7,high,63.8
4,wait_and_see,no_experience,save_half,monthly,save for a car,26861,16801,434,5,medium,21.9
3,wait_and_see,no_never,invest_all,weekly,buy a house,137372,290875,1390,7,high,43.5
8,buy_more,yes_sometimes,invest_all,weekly,retirement,2990758,2916411,7132,20,high,82.1
4,buy_more,no_never,invest_all,monthly,buy a house,590113,584698,2186,12,high,33.3
4,buy_more,yes_sometimes,save_half,quarterly,buy a house,218845,100028,401,10,medium,19.8
7,wait_and_see,yes_sometimes,invest_all,weekly,buy a house,100219,47421,4753,5,high,35.6
6,wait_and_see,no_experience,invest_all,quarterly,buy a house,135807,91955,1438,5,medium,18.9
0,sell_immediately,yes_sometimes,spend_it,quarterly,emergency fund,18391,12757,347,2,low,1.4
5,wait_and_see,no_experience,save_all,monthly,save for a car,26489,6166,758,3,medium,11.8
1,sell_immediately,yes_always,spend_it,rarely,vacation,19482,11003,321,2,medium,9.0
1,wait_and_see,yes_always,spend_it,rarely,vacation,7906,1361,251,2,medium,5.0
8,wait_and_see,no_never,invest_all,quarterly,wealth building,310617,198909,1608,12,medium,34.5
8,buy_more,no_never,invest_all,monthly,retirement,2651243,2863508,30956,12,high,90.0
1,wait_and_see,yes_always,save_all,rarely,emergency fund,5729,4669,59,2,medium,8.9
2,sell_immediately,no_experience,save_half,rarely,buy a house,82332,37189,979,2,low,1.4
20,buy_more,yes_sometimes,invest_all,daily,retirement,1434963,1957692,11938,25,high,98.6
15,wait_and_see,yes_sometimes,save_half,daily,retirement,491460,95264,2633,10,medium,38.7
15,wait_and_see,yes_sometimes,invest_all,weekly,wealth building,317529,246094,1969,15,medium,42.1
2,wait_and_see,yes_sometimes,save_all,rarely,vacation,7519,4027,152,1,low,10.1
1,sell_immediately,yes_sometimes,save_half,rarely,save for a car,27908,7553,93,5,low,3.4
3,buy_more,no_never,invest_all,monthly,buy a house,199897,69917,722,12,medium,21.8
1,wait_and_see,yes_sometimes,spend_it,quarterly,emergency fund,17814,8260,194,2,low,7.7
6,wait_and_see,yes_sometimes,invest_all,weekly,wealth building,1077244,390727,14807,10,high,65.1
8,buy_more,no_never,save_half,weekly,retirement,1586532,1093434,8349,20,high,79.6
4,wait_and_see,yes_sometimes,invest_all,weekly,wealth building,865179,748514,13969,12,high,69.3
18,buy_more,yes_sometimes,save_half,daily,wealth building,270265,209220,724,20,medium,39.2
15,wait_and_see,no_never,invest_all,weekly,wealth building,190499,57289,2142,15,high,67.4
12,buy_more,yes_sometimes,save_half,monthly,wealth building,1007957,830027,8824,15,high,70.3
3,buy_more,no_never,save_half,weekly,wealth building,72418,27319,182,10,medium,36.5
15,wait_and_see,yes_sometimes,save_half,daily,wealth building,552309,1009486,3088,15,high,61.6
8,buy_more,no_never,save_half,daily,retirement,1171150,1410421,4330,15,medium,56.5
1,sell_immediately,yes_sometimes,save_half,monthly,emergency fund,19792,5866,199,5,low,4.9
4,wait_and_see,yes_sometimes,save_all,monthly,emergency fund,10291,3387,208,2,medium,5.4
4,wait_and_see,no_experience,save_half,rarely,save for a car,74877,91884,3145,2,high,33.2
8,buy_more,no_experience,save_half,monthly,retirement,2322153,1383778,50095,7,high,77.1
8,buy_more,yes_sometimes,invest_all,quarterly,wealth building,967476,1870572,7613,12,high,61.4
3,sell_immediately,no_experience,save_all,rarely,save for a car,66002,65299,727,5,high,29.4
5,buy_more,no_experience,invest_all,monthly,retirement,678685,220902,5692,5,medium,40.0
25,buy_more,no_never,invest_all,monthly,retirement,1398629,659187,14835,25,high,91.9
12,buy_more,no_never,invest_all,weekly,retirement,2290658,1257128,10438,15,high,88.7
4,buy_more,yes_sometimes,invest_all,monthly,buy a house,359293,272719,5721,7,high,38.7
0,sell_immediately,yes_always,spend_it,rarely,emergency fund,19855,11210,340,3,medium,3.2
30,buy_more,no_never,invest_all,monthly,retirement,1218510,191740,3299,25,medium,57.0
0,wait_and_see,yes_sometimes,spend_it,quarterly,vacation,9836,1612,179,2,low,1.0
1,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,33606,12945,345,3,low,12.4
1,sell_immediately,no_experience,save_half,monthly,buy a house,258134,176848,6450,4,high,27.5
4,wait_and_see,no_experience,save_all,quarterly,buy a house,216579,91916,6066,5,high,25.7
2,sell_immediately,no_experience,save_half,rarely,emergency fund,12870,6500,187,4,low,1.0
2,wait_and_see,yes_always,spend_it,quarterly,emergency fund,34153,32917,645,2,medium,10.8
1,sell_immediately,yes_always,save_all,rarely,vacation,8422,1832,546,2,medium,10.2
8,buy_more,no_never,invest_all,daily,retirement,256680,124652,1351,10,medium,44.6
5,wait_and_see,yes_sometimes,save_half,monthly,emergency fund,10390,5950,132,5,medium,8.2
7,wait_and_see,no_never,save_half,monthly,wealth building,190518,121701,897,7,medium,41.2
5,buy_more,yes_sometimes,invest_all,monthly,buy a house,164559,122292,559,10,medium,14.6
3,wait_and_see,no_experience,save_all,monthly,buy a house,195418,61547,9854,3,high,27.7
5,wait_and_see,no_never,invest_all,weekly,retirement,754025,241322,16103,5,medium,41.6
4,buy_more,no_experience,save_half,monthly,wealth building,228488,37454,3550,5,medium,38.1
8,buy_more,yes_sometimes,save_half,weekly,retirement,1173078,679514,8828,10,medium,42.0
5,sell_immediately,yes_sometimes,save_half,rarely,emergency fund,4024,3210,15,5,low,2.7
6,buy_more,no_never,invest_all,weekly,wealth building,264390,80127,6398,5,medium,46.6
10,wait_and_see,no_never,save_half,monthly,wealth building,1253073,2861106,3111,20,high,67.1
30,buy_more,yes_sometimes,invest_all,monthly,retirement,343469,620090,1358,15,medium,54.9
0,wait_and_see,yes_always,save_all,rarely,vacation,4080,4576,42,3,medium,14.1
15,buy_more,no_never,invest_all,monthly,wealth building,337841,356987,989,25,high,72.1
8,buy_more,no_experience,save_half,quarterly,wealth building,182734,96710,2391,5,medium,38.0
1,sell_immediately,yes_sometimes,save_all,quarterly,save for a car,33175,32940,387,4,medium,7.4
10,buy_more,yes_sometimes,invest_all,weekly,retirement,1289601,881568,6459,20,medium,45.6
3,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,409734,689462,2579,12,high,32.9
20,buy_more,no_never,invest_all,daily,wealth building,462028,816801,2473,30,high,82.8
2,wait_and_see,yes_sometimes,save_all,quarterly,vacation,8293,748,116,3,low,4.5
2,wait_and_see,yes_sometimes,spend_it,quarterly,emergency fund,11705,6282,239,2,low,5.8
8,buy_more,yes_sometimes,invest_all,weekly,retirement,1929364,1832237,19759,7,high,77.7
4,wait_and_see,no_never,save_half,weekly,wealth building,1159849,1300102,10641,12,high,71.9
7,buy_more,no_experience,invest_all,quarterly,wealth building,214194,252606,1379,10,medium,41.9
1,wait_and_see,yes_sometimes,save_all,quarterly,vacation,9859,7836,207,1,medium,11.1
12,buy_more,no_never,save_half,weekly,retirement,978925,228449,5999,15,high,82.0
5,wait_and_see,no_experience,save_half,rarely,emergency fund,42637,16421,852,3,high,9.1
10,buy_more,yes_sometimes,invest_all,daily,wealth building,1343365,2069225,10885,20,high,75.8
1,wait_and_see,yes_sometimes,save_all,rarely,vacation,2359,1032,26,1,low,2.4
2,sell_immediately,yes_sometimes,spend_it,quarterly,vacation,7390,3167,836,1,medium,12.9
15,buy_more,no_never,invest_all,daily,wealth building,577342,269819,4582,25,high,78.7
2,wait_and_see,yes_sometimes,save_half,rarely,emergency fund,5792,4252,52,3,low,5.6
12,buy_more,no_never,invest_all,monthly,retirement,440531,246511,4852,10,medium,48.1
8,wait_and_see,yes_sometimes,invest_all,daily,wealth building,182821,74329,2522,10,medium,40.4
5,sell_immediately,yes_sometimes,save_half,rarely,emergency fund,58424,35580,659,5,high,9.9
3,sell_immediately,no_experience,save_all,rarely,buy a house,90846,47017,642,5,medium,14.9
12,buy_more,yes_sometimes,save_half,weekly,retirement,2010522,5780178,8920,15,high,93.8
18,buy_more,no_never,save_half,daily,retirement,888045,1493957,3981,10,medium,54.1
4,wait_and_see,no_experience,save_half,monthly,retirement,1616156,1139215,6272,10,high,61.3
5,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,17713,6165,454,5,medium,17.3
1,sell_immediately,yes_sometimes,save_half,monthly,buy a house,119300,87322,2768,3,medium,15.3
1,wait_and_see,yes_always,save_all,rarely,vacation,8876,2540,326,2,medium,12.0
3,buy_more,no_never,invest_all,weekly,wealth building,840685,897758,5790,7,high,67.8
4,wait_and_see,yes_sometimes,invest_all,quarterly,wealth building,171397,63129,1950,7,medium,33.0
3,wait_and_see,no_experience,save_half,quarterly,retirement,535610,588160,1244,12,medium,42.2
20,buy_more,no_never,invest_all,daily,wealth building,73928,43593,150,15,medium,48.4
5,buy_more,no_never,invest_all,quarterly,retirement,2194389,2812966,19247,10,high,74.4
8,buy_more,no_never,save_half,daily,retirement,1339922,1531642,8355,10,high,75.6
1,sell_immediately,yes_sometimes,save_all,monthly,save for a car,14091,3929,257,4,low,9.6
8,wait_and_see,yes_sometimes,invest_all,monthly,retirement,805848,295495,14789,7,medium,44.2
30,buy_more,no_never,invest_all,monthly,retirement,2897844,3219384,26923,30,high,97.1
12,buy_more,no_never,save_half,daily,retirement,1412321,976814,1521,20,medium,50.8
2,sell_immediately,yes_always,spend_it,rarely,vacation,10631,5213,161,1,low,1.0
3,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,14200,4909,75,5,low,3.7
6,wait_and_see,no_never,save_half,quarterly,buy a house,209274,103405,8806,5,high,34.2
12,buy_more,no_never,invest_all,weekly,retirement,2740487,3067429,35063,15,high,99.1
1,wait_and_see,yes_sometimes,save_all,quarterly,emergency fund,33417,17687,166,3,medium,3.3
5,wait_and_see,no_experience,save_half,rarely,save for a car,26483,9018,631,2,low,10.2
12,buy_more,no_never,save_half,weekly,wealth building,201783,119549,401,10,medium,37.8
1,sell_immediately,yes_sometimes,save_all,rarely,vacation,5677,1491,35,3,low,5.5
5,sell_immediately,yes_sometimes,save_half,quarterly,emergency fund,18493,2754,166,5,medium,3.6
1,wait_and_see,yes_always,spend_it,rarely,emergency fund,7950,855,207,2,low,6.6
5,sell_immediately,yes_sometimes,save_half,monthly,buy a house,192977,47489,5154,3,high,23.5
7,buy_more,no_never,save_half,weekly,retirement,989292,200936,6741,10,medium,44.8
30,buy_more,no_never,invest_all,monthly,wealth building,128517,52911,569,25,medium,54.3
5,sell_immediately,yes_sometimes,save_half,monthly,save for a car,27291,14577,194,4,medium,9.8
3,buy_more,no_experience,invest_all,monthly,retirement,931638,294827,19876,5,medium,37.2
10,buy_more,yes_sometimes,save_half,weekly,wealth building,318324,184818,2061,15,medium,39.3
8,buy_more,no_never,save_half,monthly,buy a house,211421,187499,4950,7,high,44.3
10,wait_and_see,yes_sometimes,invest_all,monthly,retirement,382837,204523,4654,10,medium,41.9
1,wait_and_see,yes_always,save_all,rarely,vacation,14262,3047,835,1,medium,11.0
5,wait_and_see,no_experience,save_half,monthly,retirement,2512899,2268320,8960,10,high,53.3
12,buy_more,no_never,invest_all,daily,retirement,1747459,2824529,8919,15,high,89.2
7,buy_more,no_never,invest_all,quarterly,wealth building,115746,187419,460,12,high,76.7
4,wait_and_see,no_experience,save_all,rarely,save for a car,28649,28820,420,5,medium,15.6
8,wait_and_see,no_experience,save_half,quarterly,wealth building,663920,119636,8819,10,high,63.7
2,sell_immediately,yes_always,spend_it,rarely,vacation,10805,5322,65,3,medium,7.8
2,sell_immediately,yes_always,spend_it,quarterly,vacation,3878,1610,64,3,medium,18.0
1,wait_and_see,yes_sometimes,save_all,quarterly,buy a house,148817,83211,648,5,medium,17.1
5,buy_more,no_experience,save_half,monthly,buy a house,228594,198537,1751,12,high,42.9
2,wait_and_see,yes_sometimes,save_all,rarely,vacation,10647,2577,287,2,low,6.1
25,buy_more,yes_sometimes,invest_all,weekly,wealth building,1214741,765028,5048,30,high,85.7
1,sell_immediately,yes_sometimes,save_all,quarterly,save for a car,32630,9087,957,4,medium,1.7
5,wait_and_see,no_experience,save_all,rarely,buy a house,50741,15822,540,5,low,2.5
7,buy_more,yes_sometimes,invest_all,monthly,retirement,1127110,1076848,4998,10,medium,47.5
3,wait_and_see,no_never,save_half,weekly,buy a house,109186,95927,671,7,medium,17.6
20,buy_more,no_never,invest_all,monthly,wealth building,701621,528741,3108,15,high,79.7
30,buy_more,no_never,invest_all,daily,wealth building,230770,72951,2437,15,medium,47.2
7,buy_more,no_never,save_half,weekly,buy a house,440681,542430,1223,12,high,43.9
8,wait_and_see,no_never,invest_all,monthly,wealth building,827890,836195,2074,15,high,62.5
10,buy_more,yes_sometimes,save_half,daily,retirement,3541465,6993218,45903,10,high,83.1
3,wait_and_see,no_experience,save_all,rarely,buy a house,193300,62775,2613,3,medium,16.5
2,wait_and_see,yes_sometimes,spend_it,rarely,emergency fund,19880,9280,177,3,low,6.9
25,buy_more,no_never,invest_all,daily,retirement,2205998,4825205,11328,20,high,92.6
2,wait_and_see,yes_always,spend_it,quarterly,vacation,8118,2684,68,2,low,3.9
3,buy_more,yes_sometimes,invest_all,monthly,retirement,1279659,2048074,18941,7,high,76.6
3,wait_and_see,yes_sometimes,invest_all,quarterly,retirement,709033,335377,2041,7,medium,33.2
3,buy_more,no_never,save_half,quarterly,wealth building,146664,69065,2300,12,high,68.0
1,sell_immediately,no_experience,save_half,rarely,emergency fund,11320,6958,69,3,low,5.5
2,sell_immediately,yes_sometimes,save_all,rarely,vacation,3430,1920,89,3,medium,6.5
0,wait_and_see,yes_sometimes,save_all,quarterly,emergency fund,4890,731,143,2,low,1.7
1,sell_immediately,no_experience,save_all,quarterly,emergency fund,14359,5345,104,3,low,1.0
3,wait_and_see,no_experience,invest_all,monthly,wealth building,73247,31154,1234,5,medium,32.5
3,sell_immediately,no_experience,save_half,monthly,emergency fund,57776,33887,2293,5,high,10.9
4,buy_more,yes_sometimes,invest_all,weekly,retirement,2645442,3610082,30291,7,high,76.3
2,wait_and_see,no_experience,save_half,rarely,buy a house,135052,50918,2086,3,medium,17.3
12,buy_more,yes_sometimes,invest_all,daily,retirement,684293,386133,3374,20,medium,50.1
15,buy_more,yes_sometimes,invest_all,weekly,wealth building,120951,178491,462,10,medium,47.6
15,buy_more,yes_sometimes,invest_all,daily,retirement,3863634,3992599,44136,20,high,85.5
5,buy_more,yes_sometimes,invest_all,monthly,retirement,1851746,1081300,76165,5,high,73.9
20,buy_more,no_never,invest_all,weekly,retirement,943759,1360384,4027,20,medium,55.0
2,sell_immediately,yes_always,spend_it,quarterly,emergency fund,20427,1715,627,2,medium,6.5
5,wait_and_see,no_experience,save_all,quarterly,save for a car,53442,34465,345,3,medium,16.1
10,wait_and_see,no_never,invest_all,monthly,wealth building,1353944,2449429,5779,20,high,67.7
3,wait_and_see,no_experience,invest_all,monthly,retirement,609020,167939,9761,7,medium,51.3
3,sell_immediately,yes_sometimes,save_half,quarterly,save for a car,44242,15654,746,4,high,19.1
3,buy_more,yes_sometimes,save_half,monthly,retirement,1222968,2101678,6932,7,high,70.8
1,sell_immediately,no_experience,save_all,rarely,emergency fund,16028,27778,237,5,high,11.8
3,wait_and_see,yes_sometimes,save_half,rarely,save for a car,28530,21586,212,4,medium,16.4
6,buy_more,no_never,invest_all,weekly,retirement,269007,64232,911,12,medium,49.0
25,buy_more,yes_sometimes,invest_all,daily,wealth building,654401,977392,6941,20,high,76.1
7,wait_and_see,yes_sometimes,invest_all,monthly,retirement,810546,150142,3412,10,medium,47.0
4,sell_immediately,yes_sometimes,save_half,quarterly,buy a house,175551,161516,3117,4,medium,19.5
2,sell_immediately,yes_sometimes,spend_it,quarterly,emergency fund,14640,7022,203,3,low,5.7
5,sell_immediately,yes_sometimes,save_all,quarterly,buy a house,42275,14886,687,4,low,8.5
5,sell_immediately,yes_sometimes,save_half,quarterly,emergency fund,5551,2271,111,4,medium,1.0
5,sell_immediately,no_experience,save_all,monthly,emergency fund,5839,2927,106,3,low,1.0
6,buy_more,no_experience,save_half,monthly,wealth building,203975,79437,1283,10,medium,42.2
1,wait_and_see,yes_always,save_all,rarely,emergency fund,13380,2742,322,1,low,1.4
1,sell_immediately,yes_always,spend_it,quarterly,emergency fund,23351,32638,242,3,medium,11.3
2,sell_immediately,yes_sometimes,save_half,quarterly,buy a house,138653,186148,859,5,high,21.3
18,wait_and_see,yes_sometimes,invest_all,daily,wealth building,1008282,1889336,13300,10,high,72.3
6,buy_more,yes_sometimes,save_half,monthly,buy a house,153911,57891,1678,10,high,33.5
0,wait_and_see,yes_sometimes,save_all,rarely,vacation,7707,928,212,3,low,1.0
3,wait_and_see,no_never,save_half,quarterly,wealth building,282351,399007,1743,12,high,59.5
1,wait_and_see,yes_sometimes,save_all,monthly,save for a car,43542,11025,2452,2,high,22.4
8,buy_more,yes_sometimes,invest_all,daily,retirement,872383,831448,4554,15,medium,50.6
4,sell_immediately,yes_sometimes,save_all,monthly,emergency fund,5527,1135,169,2,low,1.0
3,buy_more,no_experience,save_half,quarterly,retirement,1190423,742708,19506,7,high,68.3
2,wait_and_see,yes_always,spend_it,rarely,emergency fund,23547,9600,1525,1,medium,2.3
5,sell_immediately,no_experience,save_all,quarterly,buy a house,94892,23516,801,5,low,10.5
4,buy_more,no_experience,invest_all,quarterly,retirement,490504,267737,2861,10,medium,40.6
1,wait_and_see,no_experience,save_half,rarely,emergency fund,10687,5812,42,3,low,1.0
1,sell_immediately,yes_always,spend_it,quarterly,vacation,6271,2677,64,2,low,3.2
5,wait_and_see,no_experience,save_half,monthly,buy a house,45991,7270,1105,3,low,6.5
7,buy_more,yes_sometimes,save_half,quarterly,wealth building,200360,353947,2202,5,high,58.8
10,wait_and_see,no_never,save_half,monthly,retirement,484330,390177,1646,20,medium,39.8
15,wait_and_see,no_never,save_half,daily,retirement,444296,614351,1260,20,medium,50.5
3,buy_more,yes_sometimes,save_half,monthly,retirement,1076041,1982781,13462,7,high,77.7
2,wait_and_see,yes_sometimes,save_half,monthly,buy a house,148767,26317,3377,5,medium,18.2
2,wait_and_see,yes_sometimes,save_all,monthly,buy a house,239682,59946,7492,3,high,31.5
5,wait_and_see,no_experience,save_all,monthly,emergency fund,9454,3055,38,5,low,1.0
5,sell_immediately,no_experience,save_all,rarely,buy a house,77140,11153,564,4,low,11.0
10,buy_more,yes_sometimes,invest_all,daily,wealth building,756870,928665,11799,10,high,74.6
5,sell_immediately,no_experience,save_half,monthly,buy a house,149736,71671,5890,3,medium,15.0
12,wait_and_see,no_never,save_half,monthly,retirement,621865,87334,2664,20,medium,44.0
18,buy_more,no_never,save_half,weekly,wealth building,140431,245710,365,20,medium,50.7
12,wait_and_see,yes_sometimes,invest_all,weekly,retirement,1169926,649854,3982,10,medium,44.0
5,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,199690,72597,7760,2,medium,22.0
15,wait_and_see,yes_sometimes,invest_all,monthly,wealth building,257126,290453,3389,10,high,67.0
4,sell_immediately,yes_sometimes,save_half,rarely,buy a house,195411,59442,3353,2,medium,17.2
5,wait_and_see,no_experience,save_half,monthly,wealth building,172750,124899,424,12,medium,35.2
7,wait_and_see,no_experience,save_half,weekly,wealth building,210433,146513,3637,5,medium,37.1
15,buy_more,yes_sometimes,invest_all,weekly,retirement,1633137,535598,4947,30,high,83.7
0,sell_immediately,yes_sometimes,spend_it,rarely,vacation,13729,6922,567,2,medium,7.7
25,buy_more,yes_sometimes,invest_all,daily,wealth building,257844,46561,1083,25,medium,50.9
5,wait_and_see,no_experience,save_half,weekly,buy a house,130147,50161,419,10,medium,21.4
10,wait_and_see,yes_sometimes,invest_all,weekly,retirement,2989306,4074602,7101,15,high,69.5
25,buy_more,no_never,invest_all,weekly,wealth building,662046,763105,4434,25,high,83.1
3,wait_and_see,no_experience,save_half,rarely,buy a house,62564,12244,474,5,low,10.9
6,wait_and_see,no_experience,save_half,monthly,buy a house,415312,303320,3413,12,high,42.2
2,sell_immediately,yes_always,save_all,rarely,emergency fund,6142,1257,157,2,low,7.2
30,buy_more,yes_sometimes,invest_all,monthly,retirement,1429702,601870,2336,30,medium,56.8
5,sell_immediately,yes_sometimes,save_all,quarterly,save for a car,43271,48515,688,2,medium,7.4
15,buy_more,yes_sometimes,invest_all,weekly,retirement,2967371,5926491,15018,10,high,87.5
10,wait_and_see,no_never,invest_all,weekly,wealth building,304767,143181,2466,10,medium,45.3
3,sell_immediately,no_experience,save_half,monthly,emergency fund,10228,6416,165,3,low,12.3
0,wait_and_see,yes_always,save_all,quarterly,emergency fund,24126,15046,433,1,medium,1.0
8,buy_more,yes_sometimes,invest_all,monthly,wealth building,429522,106956,3336,10,high,66.9
5,sell_immediately,yes_sometimes,save_half,rarely,buy a house,370756,600467,11660,4,high,28.2
1,sell_immediately,yes_sometimes,save_all,monthly,buy a house,180240,51316,1052,5,medium,18.1
8,buy_more,yes_sometimes,save_half,weekly,wealth building,693004,602299,8487,12,high,67.8
25,buy_more,yes_sometimes,invest_all,daily,retirement,857405,124645,2100,30,medium,52.5
5,wait_and_see,no_experience,invest_all,weekly,wealth building,967883,1232774,4033,12,high,56.6
4,sell_immediately,no_experience,save_all,quarterly,buy a house,153432,152092,6010,2,high,16.4
3,buy_more,no_experience,save_half,monthly,buy a house,192010,189761,1039,7,medium,19.7
3,wait_and_see,no_never,save_half,weekly,wealth building,464592,735633,8700,7,high,63.5
2,sell_immediately,yes_sometimes,save_half,quarterly,save for a car,29405,16224,324,3,medium,7.9
15,wait_and_see,yes_sometimes,save_half,daily,wealth building,996433,823780,10691,15,high,71.4
15,buy_more,no_never,save_half,monthly,retirement,465611,344363,473,20,medium,39.3
18,wait_and_see,no_never,invest_all,weekly,wealth building,202774,323018,599,15,medium,49.4
5,sell_immediately,no_experience,save_half,rarely,save for a car,82021,179954,1391,5,high,27.3
12,wait_and_see,yes_sometimes,save_half,monthly,retirement,283554,271831,881,10,medium,42.3
4,wait_and_see,yes_sometimes,save_all,monthly,save for a car,15983,5702,247,4,medium,12.9
8,wait_and_see,yes_sometimes,save_half,monthly,wealth building,115819,223660,428,15,high,67.6
5,wait_and_see,no_experience,save_all,monthly,buy a house,143850,212389,6677,3,high,29.9
1,wait_and_see,no_experience,save_all,rarely,buy a house,63723,35015,1002,3,medium,13.1
6,wait_and_see,no_experience,save_half,weekly,buy a house,164365,34569,1116,12,medium,19.9
6,buy_more,no_experience,invest_all,weekly,retirement,1363057,591565,26531,7,high,81.0
4,sell_immediately,yes_sometimes,save_half,monthly,emergency fund,31956,19679,3312,2,high,8.7
1,sell_immediately,yes_always,spend_it,rarely,vacation,2407,290,31,3,low,11.3
15,buy_more,no_never,invest_all,weekly,retirement,1562465,2779289,9080,15,high,90.1
2,sell_immediately,yes_sometimes,spend_it,rarely,vacation,14849,10171,270,2,medium,5.1
4,wait_and_see,no_never,save_half,monthly,wealth building,94813,28644,1282,7,medium,36.1
8,buy_more,yes_sometimes,invest_all,monthly,buy a house,238635,253818,938,10,medium,21.7
15,buy_more,yes_sometimes,invest_all,monthly,retirement,743906,802728,2165,20,medium,56.0
8,buy_more,yes_sometimes,invest_all,weekly,wealth building,110976,49655,981,15,high,73.7
4,wait_and_see,no_experience,invest_all,monthly,wealth building,711658,146890,10152,7,high,50.3
12,wait_and_see,no_never,save_half,weekly,wealth building,304504,154161,1351,15,medium,49.8
0,wait_and_see,yes_sometimes,save_all,quarterly,vacation,5500,3499,121,3,medium,10.4
8,wait_and_see,no_never,invest_all,weekly,retirement,2661409,660777,36952,7,high,66.2
1,sell_immediately,no_experience,save_all,monthly,emergency fund,11898,6646,243,5,medium,4.8
3,buy_more,no_experience,invest_all,quarterly,wealth building,254194,71269,4841,5,medium,35.0
3,sell_immediately,no_experience,save_all,rarely,emergency fund,4077,744,63,5,low,1.0
0,sell_immediately,yes_always,spend_it,rarely,emergency fund,14329,15782,275,2,medium,8.8
2,wait_and_see,no_experience,save_half,rarely,emergency fund,50829,117037,1505,2,high,15.1
1,sell_immediately,no_experience,save_all,rarely,save for a car,47691,50905,539,3,medium,15.3
15,buy_more,no_never,save_half,daily,retirement,268450,119962,3650,10,medium,53.8
3,buy_more,yes_sometimes,invest_all,quarterly,wealth building,944474,731426,4667,5,high,52.3
4,wait_and_see,no_never,save_half,weekly,buy a house,147375,99508,213,12,medium,20.3
