years_of_experience,loss_tolerance,panic_behavior,financial_behavior,engagement_level,investment_goal,target_amount,lump_sum_investment,monthly_investment,timeframe,income,risk_score
6,buy_more,no_experience,save_half,monthly,save for a car,31378,3895,96,8,medium,71.3
1,sell_immediately,no_experience,save_all,rarely,emergency fund,8712,2218,46,3,low,7.1
6,wait_and_see,no_experience,save_half,weekly,wealth building,136577,98997,295,15,high,96.4
0,sell_immediately,no_experience,save_half,rarely,emergency fund,20510,5648,122,4,medium,29.6
5,wait_and_see,no_experience,save_half,monthly,buy a house,91604,13638,836,5,high,71.9
3,wait_and_see,yes_sometimes,invest_all,quarterly,buy a house,63095,14489,128,8,high,70.6
3,buy_more,yes_sometimes,save_half,quarterly,save for a car,29755,2608,123,5,medium,64.2
25,buy_more,no_never,invest_all,daily,wealth building,368402,288819,785,20,high,100.0
5,buy_more,no_experience,save_half,monthly,buy a house,176164,12774,2476,7,high,82.4
2,sell_immediately,yes_sometimes,save_all,quarterly,emergency fund,12239,1994,143,2,low,16.4
4,wait_and_see,no_experience,invest_all,monthly,buy a house,213045,57903,1767,8,high,86.7
0,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,12688,1744,193,3,medium,37.2
8,buy_more,no_experience,invest_all,weekly,retirement,536032,266949,1009,12,medium,100.0
4,wait_and_see,no_experience,invest_all,quarterly,save for a car,28587,3838,168,5,high,70.4
8,buy_more,no_experience,save_half,monthly,wealth building,106974,36441,519,15,high,93.1
4,buy_more,yes_sometimes,invest_all,monthly,buy a house,233449,82007,1704,7,high,87.9
0,sell_immediately,yes_sometimes,save_all,quarterly,vacation,12316,4970,344,1,medium,15.9
6,wait_and_see,no_experience,save_half,monthly,buy a house,65719,3651,224,8,medium,69.9
10,buy_more,no_experience,invest_all,weekly,retirement,590826,41690,1858,12,medium,100.0
8,wait_and_see,no_experience,save_half,monthly,wealth building,177183,18477,245,15,medium,76.8
4,buy_more,no_experience,save_half,quarterly,save for a car,27169,10107,139,7,medium,69.9
6,buy_more,yes_sometimes,invest_all,quarterly,save for a car,26866,7926,129,7,medium,76.8
6,wait_and_see,no_experience,save_half,monthly,save for a car,56315,14969,723,5,high,73.5
12,wait_and_see,no_never,save_half,monthly,retirement,186828,6053,1021,12,medium,98.8
6,buy_more,no_never,save_half,monthly,retirement,473802,8671,1321,15,medium,100.0
0,wait_and_see,no_experience,save_all,rarely,emergency fund,7348,1020,103,2,low,17.9
3,wait_and_see,yes_sometimes,invest_all,monthly,save for a car,19288,5934,37,7,medium,68.2
1,sell_immediately,no_experience,save_half,quarterly,emergency fund,22556,571,142,4,medium,30.0
12,wait_and_see,no_experience,invest_all,monthly,wealth building,189073,9524,919,12,medium,96.5
2,wait_and_see,no_experience,save_half,rarely,emergency fund,10082,3507,49,3,low,34.1
3,wait_and_see,no_experience,save_half,monthly,buy a house,102631,40421,323,8,medium,70.2
3,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,15729,1269,121,5,medium,53.3
3,wait_and_see,no_experience,save_all,quarterly,save for a car,19554,1114,305,2,low,37.0
12,wait_and_see,no_experience,save_half,weekly,retirement,205836,80241,372,12,medium,89.8
3,sell_immediately,no_experience,save_half,quarterly,emergency fund,17229,803,247,4,medium,47.1
1,wait_and_see,no_experience,save_half,quarterly,emergency fund,7241,2239,24,4,low,36.8
2,sell_immediately,yes_sometimes,spend_it,rarely,emergency fund,21897,5798,210,2,medium,10.5
0,wait_and_see,no_experience,save_half,quarterly,emergency fund,21060,1451,106,4,medium,30.0
5,buy_more,yes_sometimes,save_half,quarterly,buy a house,55460,4268,439,7,medium,68.8
0,wait_and_see,no_experience,save_all,rarely,save for a car,16185,3643,93,4,low,34.6
3,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,21027,2961,96,5,high,58.1
6,buy_more,no_experience,invest_all,monthly,retirement,549649,209095,2579,10,high,100.0
12,buy_more,no_experience,save_half,monthly,wealth building,249228,17529,867,15,high,94.7
10,wait_and_see,no_never,save_half,weekly,wealth building,259710,78030,1473,10,high,88.4
6,wait_and_see,no_experience,invest_all,monthly,save for a car,28610,10561,135,7,medium,77.2
6,wait_and_see,no_experience,invest_all,monthly,save for a car,28329,9207,154,5,medium,70.7
6,buy_more,no_never,save_half,monthly,wealth building,79141,23876,218,10,medium,90.9
5,buy_more,yes_sometimes,save_half,quarterly,save for a car,31275,8278,206,7,medium,67.9
6,wait_and_see,no_experience,save_half,weekly,wealth building,203064,14972,373,12,medium,84.5
3,wait_and_see,no_experience,save_half,quarterly,save for a car,43203,12287,175,5,high,70.0
10,wait_and_see,no_never,invest_all,monthly,retirement,308289,29716,506,12,medium,92.2
4,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,145056,56860,829,5,medium,59.9
3,wait_and_see,no_experience,save_half,quarterly,save for a car,41767,3795,210,7,high,64.8
1,wait_and_see,no_experience,save_half,quarterly,emergency fund,13103,3903,60,3,low,35.3
5,wait_and_see,no_experience,save_half,quarterly,save for a car,25798,858,174,7,medium,60.9
12,buy_more,no_experience,invest_all,weekly,retirement,160786,631,443,15,medium,100.0
6,buy_more,no_experience,save_half,quarterly,buy a house,181367,44881,796,7,high,80.6
6,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,134929,51117,357,7,medium,65.6
2,sell_immediately,yes_sometimes,save_all,quarterly,vacation,11291,388,204,2,medium,25.7
8,wait_and_see,no_experience,save_half,monthly,retirement,649777,291294,2165,10,medium,80.7
6,wait_and_see,yes_sometimes,save_half,monthly,buy a house,112243,22191,529,5,medium,67.7
2,sell_immediately,yes_sometimes,save_all,quarterly,save for a car,17614,2161,183,2,medium,26.5
0,wait_and_see,yes_sometimes,save_all,quarterly,emergency fund,10599,1383,97,2,medium,31.1
8,wait_and_see,no_experience,save_half,weekly,wealth building,214046,60915,1211,12,high,91.6
0,sell_immediately,yes_sometimes,spend_it,rarely,vacation,10380,1754,502,1,medium,15.6
1,wait_and_see,yes_always,spend_it,rarely,emergency fund,5238,291,187,1,low,2.7
3,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,16999,1189,308,3,medium,53.9
5,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,38952,682,485,7,high,65.7
6,wait_and_see,no_experience,invest_all,weekly,wealth building,179520,78453,545,10,high,97.1
0,wait_and_see,yes_sometimes,save_all,rarely,vacation,10904,3737,338,1,medium,23.8
3,wait_and_see,yes_sometimes,save_half,rarely,emergency fund,12176,1724,184,3,medium,38.8
1,sell_immediately,yes_always,spend_it,rarely,vacation,2244,661,31,1,low,5.5
0,wait_and_see,no_experience,save_all,quarterly,emergency fund,21895,3315,342,3,medium,33.4
0,sell_immediately,yes_always,spend_it,quarterly,vacation,11889,1979,191,2,medium,13.8
15,buy_more,no_never,invest_all,daily,wealth building,196273,67231,92,30,high,100.0
6,buy_more,no_never,invest_all,weekly,retirement,241338,28245,787,10,medium,100.0
6,buy_more,yes_sometimes,invest_all,quarterly,save for a car,34094,2931,396,5,high,82.3
3,buy_more,no_experience,save_half,monthly,save for a car,33671,8169,90,5,medium,69.3
4,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,59113,1944,303,5,medium,61.6
2,sell_immediately,yes_always,spend_it,quarterly,emergency fund,5683,722,128,1,low,1.0
15,buy_more,no_never,invest_all,daily,wealth building,141100,47484,515,20,high,100.0
15,buy_more,no_never,invest_all,daily,retirement,326060,34341,389,25,high,100.0
5,buy_more,no_experience,invest_all,monthly,buy a house,103256,2487,623,8,medium,84.1
12,buy_more,no_experience,invest_all,weekly,retirement,828213,295992,3893,10,high,100.0
4,wait_and_see,yes_sometimes,invest_all,monthly,buy a house,67231,13994,128,5,medium,69.3
10,buy_more,no_never,invest_all,weekly,retirement,258161,40455,861,12,medium,100.0
8,buy_more,no_never,invest_all,weekly,retirement,546772,100618,2221,10,medium,100.0
10,wait_and_see,no_never,save_half,monthly,wealth building,112935,20073,362,10,medium,79.5
1,sell_immediately,yes_sometimes,save_all,rarely,save for a car,8401,481,99,3,low,23.3
2,sell_immediately,yes_sometimes,save_all,rarely,emergency fund,18175,7944,153,2,medium,20.3
6,wait_and_see,no_never,invest_all,weekly,wealth building,213291,9506,650,10,medium,91.5
2,sell_immediately,no_experience,save_all,rarely,emergency fund,8426,989,129,2,low,9.9
0,sell_immediately,no_experience,save_all,quarterly,emergency fund,7606,3003,28,4,low,21.1
3,wait_and_see,no_experience,save_all,rarely,save for a car,38961,4488,569,3,medium,49.7
2,sell_immediately,yes_always,save_all,quarterly,vacation,2470,174,29,2,low,6.8
25,buy_more,no_never,invest_all,daily,wealth building,500606,44289,944,25,high,100.0
8,wait_and_see,no_experience,invest_all,monthly,wealth building,106198,7796,701,15,high,100.0
3,wait_and_see,yes_sometimes,invest_all,monthly,save for a car,19885,3071,72,7,medium,70.0
0,sell_immediately,yes_sometimes,save_all,quarterly,vacation,10342,772,308,1,medium,15.3
4,buy_more,yes_sometimes,save_half,quarterly,save for a car,27754,5565,126,8,high,72.0
1,wait_and_see,yes_sometimes,spend_it,quarterly,vacation,4649,119,60,2,low,24.1
3,sell_immediately,yes_sometimes,save_all,rarely,emergency fund,8980,320,70,4,low,19.6
2,sell_immediately,no_experience,save_half,quarterly,emergency fund,22202,5048,232,2,medium,26.7
5,wait_and_see,no_experience,save_half,monthly,buy a house,54065,10437,114,8,medium,67.2
3,wait_and_see,no_experience,save_half,quarterly,buy a house,151868,9232,1026,5,high,66.0
0,sell_immediately,no_experience,save_all,rarely,save for a car,18438,3377,217,2,medium,22.6
6,wait_and_see,yes_sometimes,invest_all,quarterly,buy a house,80413,27700,720,5,high,87.2
3,wait_and_see,yes_sometimes,save_half,monthly,buy a house,79347,30649,409,5,high,74.5
8,buy_more,no_experience,invest_all,monthly,wealth building,102511,28919,124,10,medium,89.7
2,wait_and_see,yes_sometimes,save_half,rarely,emergency fund,7726,2126,27,3,low,23.3
10,wait_and_see,no_experience,invest_all,weekly,wealth building,170471,3704,687,10,high,90.1
3,buy_more,yes_sometimes,invest_all,monthly,save for a car,23641,8862,82,5,medium,81.1
6,wait_and_see,yes_sometimes,invest_all,monthly,save for a car,19064,3040,110,7,medium,73.5
6,wait_and_see,no_experience,save_half,quarterly,buy a house,233753,13572,1236,8,high,72.6
6,wait_and_see,yes_sometimes,invest_all,monthly,save for a car,48279,15191,215,7,high,76.4
6,buy_more,yes_sometimes,save_half,quarterly,buy a house,68321,13797,664,7,high,86.6
20,buy_more,no_never,invest_all,daily,wealth building,509461,81560,729,20,high,100.0
2,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,9627,3575,50,3,low,38.5
3,buy_more,no_experience,save_half,quarterly,save for a car,32212,2224,312,5,high,75.1
1,wait_and_see,yes_sometimes,save_all,quarterly,vacation,10573,2457,210,2,medium,36.2
3,wait_and_see,yes_sometimes,save_half,rarely,emergency fund,9089,693,65,4,low,34.3
12,wait_and_see,no_experience,save_half,monthly,wealth building,104828,21026,648,10,high,87.3
3,sell_immediately,no_experience,save_half,rarely,emergency fund,15651,3587,159,3,medium,31.2
3,wait_and_see,no_experience,invest_all,quarterly,save for a car,37104,2278,162,5,medium,56.6
4,buy_more,yes_sometimes,save_half,quarterly,save for a car,16564,3978,56,8,medium,65.8
3,wait_and_see,no_experience,save_half,rarely,save for a car,17068,2519,200,3,low,50.5
6,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,32574,13561,200,7,high,67.9
6,wait_and_see,no_experience,invest_all,weekly,retirement,437399,62921,4098,10,high,100.0
3,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,37915,10116,263,3,medium,48.0
0,wait_and_see,yes_sometimes,save_half,rarely,emergency fund,8273,1806,29,4,medium,31.6
8,buy_more,no_never,save_half,monthly,wealth building,65449,19864,53,15,medium,94.2
1,wait_and_see,yes_sometimes,save_all,rarely,save for a car,8187,2304,46,3,low,31.5
25,buy_more,no_never,invest_all,weekly,wealth building,260293,177893,469,20,high,100.0
4,wait_and_see,yes_sometimes,save_half,monthly,save for a car,35393,14473,119,8,medium,62.1
12,wait_and_see,no_never,save_half,monthly,wealth building,131567,23865,220,15,medium,97.9
12,buy_more,no_experience,save_half,monthly,retirement,630775,217063,3278,15,high,100.0
6,wait_and_see,no_never,invest_all,monthly,wealth building,214613,15480,711,10,medium,90.9
1,wait_and_see,yes_sometimes,save_all,quarterly,vacation,2702,141,86,1,low,26.3
10,wait_and_see,no_never,invest_all,monthly,retirement,614099,96009,2761,15,high,100.0
12,buy_more,no_experience,save_half,weekly,retirement,473047,255777,2137,10,high,100.0
12,wait_and_see,no_never,invest_all,weekly,retirement,1071923,402244,1692,12,high,100.0
6,buy_more,no_experience,invest_all,monthly,buy a house,228273,1047,1240,7,high,89.1
6,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,56665,9870,267,7,high,61.6
1,sell_immediately,yes_sometimes,save_all,quarterly,emergency fund,10000,2586,113,1,low,12.9
4,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,67207,4294,617,5,medium,66.0
3,wait_and_see,no_experience,save_half,rarely,emergency fund,7452,2556,53,3,low,33.3
8,buy_more,no_experience,invest_all,weekly,retirement,328595,102305,980,12,medium,100.0
8,buy_more,no_experience,invest_all,weekly,wealth building,177148,15195,420,10,medium,96.4
3,wait_and_see,no_experience,save_half,monthly,save for a car,28110,6214,149,7,medium,66.3
6,buy_more,no_never,invest_all,weekly,retirement,783975,248551,2134,10,high,100.0
8,wait_and_see,no_experience,invest_all,weekly,retirement,834603,281068,5050,10,high,100.0
1,wait_and_see,yes_sometimes,save_half,quarterly,emergency fund,23540,6288,113,4,medium,39.0
10,buy_more,no_experience,save_half,weekly,wealth building,122921,68594,204,12,medium,92.3
5,wait_and_see,no_experience,invest_all,quarterly,save for a car,22884,1271,136,8,medium,63.0
12,wait_and_see,no_never,invest_all,weekly,wealth building,85641,27901,123,12,high,100.0
6,wait_and_see,no_never,invest_all,weekly,wealth building,519996,163128,1886,10,high,100.0
6,buy_more,no_experience,save_half,monthly,retirement,626745,27637,1448,12,medium,88.9
1,wait_and_see,yes_sometimes,save_half,rarely,emergency fund,16192,7240,196,2,medium,31.4
6,wait_and_see,yes_sometimes,invest_all,monthly,buy a house,136034,25140,466,7,medium,74.5
12,buy_more,no_never,invest_all,weekly,wealth building,167863,17278,526,10,medium,100.0
10,buy_more,no_never,invest_all,weekly,retirement,1025377,568450,2632,12,high,100.0
4,wait_and_see,no_experience,save_half,monthly,save for a car,14744,5776,45,5,medium,69.3
10,wait_and_see,no_experience,invest_all,monthly,wealth building,79165,4666,345,10,medium,87.4
3,wait_and_see,no_experience,save_half,quarterly,buy a house,44319,6332,138,5,medium,65.3
4,buy_more,yes_sometimes,save_half,monthly,buy a house,60054,38264,286,5,high,78.0
5,wait_and_see,no_experience,save_half,monthly,save for a car,20213,2064,60,8,medium,66.3
8,wait_and_see,no_experience,invest_all,monthly,wealth building,121426,58405,435,12,high,100.0
15,buy_more,no_never,invest_all,weekly,wealth building,324764,185640,546,30,high,100.0
12,buy_more,no_experience,save_half,monthly,retirement,584590,205444,969,12,high,100.0
3,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,129117,28490,559,8,medium,66.4
15,buy_more,no_never,invest_all,weekly,retirement,669761,117025,2106,25,high,100.0
1,sell_immediately,no_experience,save_half,rarely,save for a car,23463,271,321,4,medium,33.6
6,buy_more,no_never,save_half,monthly,retirement,797581,335794,2161,12,high,100.0
3,wait_and_see,yes_sometimes,save_half,monthly,buy a house,120174,28155,584,8,medium,66.1
5,buy_more,yes_sometimes,save_half,quarterly,save for a car,13748,989,93,7,medium,65.7
1,sell_immediately,no_experience,save_all,rarely,save for a car,24231,11434,129,4,medium,34.7
8,buy_more,no_never,invest_all,weekly,retirement,475444,60274,1072,12,high,100.0
6,wait_and_see,no_never,save_half,monthly,wealth building,173291,85377,432,10,medium,80.3
3,buy_more,no_experience,save_half,quarterly,save for a car,27698,1695,85,7,medium,62.5
1,wait_and_see,no_experience,save_half,quarterly,emergency fund,12813,2991,62,4,low,34.4
0,sell_immediately,yes_always,save_all,quarterly,vacation,2381,118,23,2,low,12.1
4,buy_more,yes_sometimes,save_half,monthly,save for a car,30381,6531,92,8,high,75.8
6,buy_more,no_never,invest_all,weekly,retirement,409244,195756,519,15,high,100.0
2,sell_immediately,yes_sometimes,save_all,quarterly,emergency fund,4221,488,108,1,low,9.2
4,wait_and_see,no_experience,save_half,quarterly,buy a house,154697,49590,1665,7,high,69.8
0,wait_and_see,yes_sometimes,save_all,rarely,emergency fund,9681,1834,124,1,low,10.9
2,sell_immediately,yes_always,save_all,rarely,vacation,7228,474,99,1,low,6.9
2,sell_immediately,yes_always,save_all,quarterly,vacation,5342,1335,56,1,medium,9.5
0,sell_immediately,yes_sometimes,save_all,rarely,vacation,8814,1851,345,1,medium,11.7
3,sell_immediately,no_experience,save_all,rarely,save for a car,33286,616,689,3,medium,32.6
3,wait_and_see,no_experience,save_half,monthly,buy a house,108272,1332,502,7,medium,64.2
1,wait_and_see,no_experience,save_half,quarterly,save for a car,17639,4435,67,4,low,46.2
1,wait_and_see,no_experience,save_half,rarely,emergency fund,4675,371,24,4,low,26.5
1,sell_immediately,yes_always,save_all,quarterly,emergency fund,6878,1900,45,2,low,7.1
12,buy_more,no_experience,save_half,weekly,retirement,281206,10765,1282,10,high,100.0
6,wait_and_see,yes_sometimes,save_half,monthly,save for a car,47757,17765,297,7,high,72.3
1,sell_immediately,no_experience,save_half,rarely,emergency fund,5695,1063,63,3,low,18.0
5,wait_and_see,yes_sometimes,save_half,monthly,buy a house,291940,107854,995,8,high,69.3
3,wait_and_see,no_experience,invest_all,quarterly,save for a car,20069,1452,159,5,medium,67.5
8,buy_more,no_never,save_half,monthly,wealth building,158127,23223,1288,10,high,100.0
1,wait_and_see,no_experience,save_all,quarterly,emergency fund,21296,9081,248,2,medium,38.0
6,wait_and_see,no_experience,invest_all,weekly,wealth building,339770,35721,791,12,high,91.6
3,wait_and_see,yes_sometimes,invest_all,quarterly,buy a house,194174,18541,797,7,high,69.8
3,wait_and_see,yes_sometimes,save_half,monthly,save for a car,34237,1636,115,7,medium,59.3
3,sell_immediately,yes_sometimes,save_all,rarely,emergency fund,13504,2705,45,4,medium,28.9
3,sell_immediately,no_experience,save_half,rarely,emergency fund,13088,666,53,4,low,20.5
3,wait_and_see,no_experience,save_half,quarterly,buy a house,102065,30468,168,7,medium,57.7
2,wait_and_see,yes_sometimes,save_all,rarely,vacation,4172,800,58,2,medium,35.5
10,buy_more,no_never,invest_all,monthly,retirement,170074,9048,544,15,medium,100.0
6,wait_and_see,no_experience,invest_all,quarterly,buy a house,274582,233976,1360,7,high,88.0
2,sell_immediately,yes_sometimes,save_all,quarterly,emergency fund,21762,5109,291,2,medium,19.8
6,wait_and_see,no_experience,save_half,monthly,retirement,616862,36499,2169,15,medium,78.4
6,buy_more,no_experience,invest_all,monthly,save for a car,28362,7984,237,8,high,93.1
4,wait_and_see,no_experience,save_half,monthly,save for a car,48218,11538,246,5,high,64.9
5,wait_and_see,no_experience,save_half,quarterly,buy a house,129031,51582,624,5,high,67.4
20,buy_more,no_never,invest_all,daily,wealth building,354652,148695,980,25,high,100.0
1,sell_immediately,yes_sometimes,spend_it,quarterly,emergency fund,11360,3390,473,1,medium,14.6
5,wait_and_see,no_experience,save_half,quarterly,save for a car,14850,3979,53,5,medium,49.9
4,wait_and_see,yes_sometimes,invest_all,quarterly,buy a house,183037,25936,677,8,high,75.0
2,sell_immediately,no_experience,save_all,quarterly,save for a car,24732,1879,315,2,medium,24.1
6,wait_and_see,no_experience,save_half,monthly,buy a house,266746,27953,3196,5,high,76.0
8,wait_and_see,no_experience,invest_all,monthly,retirement,151998,1772,797,12,medium,92.2
6,buy_more,no_never,save_half,weekly,wealth building,101666,38549,113,15,medium,100.0
4,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,43330,5142,366,7,high,62.7
2,wait_and_see,yes_always,save_all,rarely,vacation,2541,296,39,1,low,10.9
1,sell_immediately,yes_always,save_all,rarely,emergency fund,8690,1444,199,1,medium,2.4
6,wait_and_see,no_experience,save_half,monthly,save for a car,51335,10530,342,5,high,70.9
1,sell_immediately,no_experience,save_all,rarely,emergency fund,11002,1907,34,2,low,21.2
0,wait_and_see,yes_always,spend_it,rarely,emergency fund,5200,720,37,2,low,4.8
